	dgemm dhrystone median multiply qsort spmv towers vvadd
dgem	 | 115.63172 67.40025 98.96830 74.77461 96.00756 192.23616 74.36195 106.61302	|2.0 7.0 1.0 5.0 1.0
dhry	 | 115.63172 67.40025 98.96830 74.77461 96.00756 192.23616 74.36195 106.61302	|2.0 7.0 1.0 5.0 1.0
medi	 | 113.10379 67.31033 100.00838 74.66985 95.47085 175.47230 74.46113 113.18659	|3.0 7.0 1.0 5.0 1.0
mult	 | 115.63172 67.40025 98.96830 74.77461 96.00756 192.23616 74.36195 106.61302	|2.0 7.0 1.0 5.0 1.0
qsor	 | 115.63172 67.40025 98.96830 74.77461 96.00756 192.23616 74.36195 106.61302	|2.0 7.0 1.0 5.0 1.0
spmv	 | 115.63172 67.40025 98.96830 74.77461 96.00756 192.23616 74.36195 106.61302	|2.0 7.0 1.0 5.0 1.0
towe	 | 112.94426 67.17723 97.70416 74.55642 95.31119 169.90057 75.58300 110.07661	|4.0 7.0 1.0 5.0 1.0
vvad	 | 113.10379 67.31033 100.00838 74.66985 95.47085 175.47230 74.46113 113.18659	|3.0 7.0 1.0 5.0 1.0
